num_selfish,1//2,2//3,3//4,5//6,7//8,1//1
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0657,0.6064,1.9881,2.999,7.2516
2.0,0.0,0.1368,1.2157,4.0359,6.087,14.6381
3.0,0.0,0.2172,1.8139,5.9138,8.9126,21.3528
4.0,0.0003,0.2719,2.3696,7.8382,11.8644,28.5057
5.0,0.0003,0.3646,2.9835,9.7575,14.7297,35.3965
6.0,0.0003,0.4625,3.6852,11.7139,17.6184,42.1931
7.0,0.0007,0.4814,4.126,13.508,20.3479,48.6212
8.0,0.0001,0.5882,4.8372,15.4651,23.2798,55.4248
9.0,0.0004,0.6217,5.4067,17.4872,26.2104,62.1554
10.0,0.0002,0.6973,5.9436,19.2293,28.8883,68.5889
11.0,0.0002,0.7903,6.5612,21.1805,31.7683,75.0224
12.0,0.0001,0.8635,7.1668,23.0905,34.6367,81.5513
13.0,0.0003,0.8808,7.6002,24.7756,37.2094,87.7091
14.0,0.001,1.0118,8.2631,26.5758,39.825,93.6086
15.0,0.0016,1.0447,8.9541,28.5583,42.7093,100.2647
16.0,0.0006,1.0937,9.4286,30.2535,45.3563,106.2663
17.0,0.0002,1.209,10.004,32.1457,48.0074,112.0825
18.0,0.0015,1.285,10.6153,33.9534,50.7026,117.9783
19.0,0.001,1.3305,11.0932,35.4685,53.0116,123.4942
20.0,0.0003,1.4047,11.7313,37.5429,56.0182,129.8437
21.0,0.001,1.4956,12.2832,39.069,58.2517,134.8363
22.0,0.0004,1.5335,12.8223,40.7232,60.6449,140.4031
23.0,0.0008,1.5935,13.3601,42.5726,63.3465,146.1033
24.0,0.0006,1.6953,14.0553,44.4707,66.0901,151.8498
25.0,0.0006,1.7051,14.3558,45.7989,68.1789,156.721
26.0,0.0014,1.9077,15.2287,48.0432,71.2341,162.6773
27.0,0.0013,1.9222,15.6683,49.3663,73.2493,167.3537
28.0,0.001,1.9517,16.2452,51.1343,75.6675,172.5621
29.0,0.0019,2.0824,16.9485,53.0885,78.431,178.0704
30.0,0.0014,2.0787,17.2949,54.2958,80.3137,182.3218
