num_selfish,1//2,2//3,3//4,5//6,7//8,1//1
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.0124,-0.0161,-0.0144,-0.0093,0.0049,0.0
2.0,0.0021,-0.0025,-0.0054,-0.0023,-0.0164,0.0
3.0,-0.0075,-0.0186,0.0018,0.0098,0.0251,0.0
4.0,-0.0313,0.0047,0.0403,0.0371,0.0228,0.0
5.0,-0.019,-0.0058,0.0189,0.039,0.0265,0.0
6.0,0.0238,0.0067,0.0426,0.0333,0.0647,0.0
7.0,0.0092,0.0127,0.0257,0.0363,0.0233,0.0
8.0,0.0218,0.016,0.0341,0.0406,0.0248,0.0
9.0,-0.0099,-0.0065,0.0336,0.038,0.0453,0.0
10.0,0.0147,0.0306,0.0381,0.0419,0.0335,0.0
11.0,0.026,0.0375,0.0597,0.0721,0.0575,0.0
12.0,-0.0031,0.0408,0.0633,0.0889,0.0769,0.0
13.0,0.0181,0.0335,0.0489,0.0579,0.0455,0.0
14.0,0.0352,0.0377,0.0709,0.0835,0.0904,0.0
15.0,0.0007,-0.0055,0.0549,0.0486,0.0705,0.0
16.0,0.0053,0.0457,0.0569,0.0892,0.0816,0.0
17.0,0.0017,0.0375,0.0607,0.0758,0.0575,0.0
18.0,0.0765,0.0922,0.095,0.0856,0.0866,0.0
19.0,0.0511,0.0964,0.0846,0.0865,0.1118,0.0
20.0,0.0712,0.0959,0.1113,0.1368,0.1204,0.0
21.0,0.0341,0.0855,0.1074,0.1162,0.1061,0.0
22.0,0.0004,0.0815,0.0817,0.1169,0.107,0.0
23.0,0.0848,0.1001,0.1021,0.1247,0.1085,0.0
24.0,0.0381,0.0953,0.0699,0.1364,0.137,0.0
25.0,0.0359,0.0865,0.1176,0.1063,0.138,0.0
26.0,0.067,0.0989,0.1235,0.1225,0.1175,0.0
27.0,0.0723,0.1277,0.1353,0.1682,0.1547,0.0
28.0,0.0316,0.1123,0.1417,0.1641,0.1854,0.0
29.0,0.021,0.0898,0.1094,0.1425,0.1481,0.0
30.0,0.0389,0.101,0.1371,0.1616,0.1504,0.0
