num_selfish,1//2,2//3,3//4,5//6,7//8,1//1
0.0,23.6729,20.3422,20.015,19.0824,18.642,16.5151
1.0,23.6879,20.4506,20.1042,19.3039,18.8966,17.1335
2.0,23.7982,20.3876,20.1109,19.3707,19.0171,17.6291
3.0,23.623,20.332,20.0198,19.3589,19.0302,17.9549
4.0,23.8833,20.4565,20.2072,19.5392,19.3108,18.5054
5.0,23.5599,20.3548,20.0888,19.4623,19.2762,18.7596
6.0,23.6638,20.3571,20.1245,19.5467,19.3638,19.0596
7.0,23.7626,20.4599,20.1979,19.6243,19.5145,19.4445
8.0,23.8213,20.5061,20.2988,19.7808,19.6747,19.7316
9.0,23.6131,20.3708,20.092,19.6204,19.5644,19.8607
10.0,23.7223,20.442,20.2531,19.7634,19.7266,20.1804
11.0,23.5872,20.3113,20.1397,19.7151,19.723,20.2801
12.0,23.5713,20.3771,20.1237,19.7562,19.8008,20.4159
13.0,23.6457,20.3842,20.1855,19.7848,19.8189,20.447
14.0,23.7607,20.4358,20.2662,19.9228,19.9818,20.6878
15.0,23.7849,20.5042,20.2396,19.8255,19.9107,20.7095
16.0,23.6411,20.3658,20.2385,19.9371,20.0314,20.7512
17.0,23.7253,20.4308,20.2549,19.9161,20.0021,20.6519
18.0,23.7709,20.5292,20.2955,19.9414,20.0183,20.7023
19.0,23.6143,20.3107,20.1707,19.8889,19.9499,20.6138
20.0,23.7759,20.4335,20.3067,19.9709,19.9602,20.4346
21.0,23.749,20.4845,20.2916,19.9231,19.9527,20.3417
22.0,23.7545,20.3816,20.2248,19.8858,19.8354,20.0752
23.0,23.724,20.3645,20.2073,19.7899,19.7629,19.8377
24.0,23.6623,20.3947,20.1852,19.832,19.744,19.5713
25.0,23.6582,20.3037,20.1896,19.7794,19.6564,19.2703
26.0,23.6937,20.3874,20.2631,19.7747,19.6215,18.9892
27.0,23.657,20.3377,20.1413,19.6167,19.4347,18.5957
28.0,23.73,20.321,20.1281,19.5998,19.3868,18.177
29.0,23.5967,20.2324,20.1229,19.5422,19.2621,17.7368
30.0,23.7421,20.3964,20.1684,19.581,19.2705,17.4482
