num_selfish,1//2,2//3,3//4,5//6,7//8,1//1
0.0,23.6729,20.3422,20.015,19.0824,18.642,16.5151
1.0,23.6755,20.4345,20.0898,19.2946,18.9015,17.1335
2.0,23.8003,20.3851,20.1055,19.3684,19.0007,17.6291
3.0,23.6155,20.3134,20.0216,19.3687,19.0553,17.9549
4.0,23.852,20.4612,20.2475,19.5763,19.3336,18.5054
5.0,23.5409,20.349,20.1077,19.5013,19.3027,18.7596
6.0,23.6876,20.3638,20.1671,19.58,19.4285,19.0596
7.0,23.7718,20.4726,20.2236,19.6606,19.5378,19.4445
8.0,23.8431,20.5221,20.3329,19.8214,19.6995,19.7316
9.0,23.6032,20.3643,20.1256,19.6584,19.6097,19.8607
10.0,23.737,20.4726,20.2912,19.8053,19.7601,20.1804
11.0,23.6132,20.3488,20.1994,19.7872,19.7805,20.2801
12.0,23.5682,20.4179,20.187,19.8451,19.8777,20.4159
13.0,23.6638,20.4177,20.2344,19.8427,19.8644,20.447
14.0,23.7959,20.4735,20.3371,20.0063,20.0722,20.6878
15.0,23.7856,20.4987,20.2945,19.8741,19.9812,20.7095
16.0,23.6464,20.4115,20.2954,20.0263,20.113,20.7512
17.0,23.727,20.4683,20.3156,19.9919,20.0596,20.6519
18.0,23.8474,20.6214,20.3905,20.027,20.1049,20.7023
19.0,23.6654,20.4071,20.2553,19.9754,20.0617,20.6138
20.0,23.8471,20.5294,20.418,20.1077,20.0806,20.4346
21.0,23.7831,20.57,20.399,20.0393,20.0588,20.3417
22.0,23.7549,20.4631,20.3065,20.0027,19.9424,20.0752
23.0,23.8088,20.4646,20.3094,19.9146,19.8714,19.8377
24.0,23.7004,20.49,20.2551,19.9684,19.881,19.5713
25.0,23.6941,20.3902,20.3072,19.8857,19.7944,19.2703
26.0,23.7607,20.4863,20.3866,19.8972,19.739,18.9892
27.0,23.7293,20.4654,20.2766,19.7849,19.5894,18.5957
28.0,23.7616,20.4333,20.2698,19.7639,19.5722,18.177
29.0,23.6177,20.3222,20.2323,19.6847,19.4102,17.7368
30.0,23.781,20.4974,20.3055,19.7426,19.4209,17.4482
